ФАЗА III: MATERIALISM
Часть 8: Система аффиксов (Префиксы и Суффиксы)
📋 ОБЗОР СИСТЕМЫ АФФИКСОВ
Философия магических предметов
Принцип	Описание	Референс
Генерация имён	Префикс + Базовый предмет + Суффикс	Diablo, Path of Exile
Редкость определяет количество	Больше аффиксов = реже	Diablo
Синергии	Некоторые аффиксы усиливают друг друга	Path of Exile
Проклятия	Мощные предметы могут иметь цену	CDDA, D&D
Уникальные предметы	Фиксированные легендарные эффекты	Diablo
Редкость и количество аффиксов
Редкость	Цвет	Префиксы	Суффиксы	Всего	Шанс дропа
Common (Обычный)	Белый	0	0	0	60%
Uncommon (Необычный)	Зелёный	0-1	0-1	1	25%
Rare (Редкий)	Синий	1	1	2	10%
Epic (Эпический)	Фиолетовый	1-2	1-2	3-4	4%
Legendary (Легендарный)	Оранжевый	2	2	4 + особый	0.9%
Artifact (Артефакт)	Красный/Золотой	Уникальные	Уникальные	Уникальные	0.1%
Формула генерации имени
text

[Префикс] + [Материал]* + [Базовое имя] + [Суффикс]

Примеры:
- "Пылающий Стальной Длинный меч Вампира"
- "Ледяной Мифриловый Топор Берсерка"  
- "Благословенная Кираса Защитника"
- "Отравленный Кинжал Теней"

* Материал опционален в названии
Тиры аффиксов
Тир	Название	Сила эффекта	Требуемый уровень предмета	Редкость аффикса
T5	Малый	20% от максимума	1-10	Обычный
T4	Обычный	40% от максимума	11-25	Обычный
T3	Большой	60% от максимума	26-40	Необычный
T2	Превосходный	80% от максимума	41-55	Редкий
T1	Божественный	100% от максимума	56+	Очень редкий
⚔️ ПРЕФИКСЫ ОРУЖИЯ (55 видов)
Стихийные префиксы
ID	Название (Тир)	Эффект	Требования	Редкость
prefix_burning_1	Тёплый	+1 огненный урон	Ур. 1+	Common
prefix_burning_2	Горящий	+1d4 огненный урон	Ур. 10+	Uncommon
prefix_burning_3	Пылающий	+1d6 огненный урон	Ур. 25+	Rare
prefix_burning_4	Испепеляющий	+1d8 огненный урон, поджигание	Ур. 40+	Very Rare
prefix_burning_5	Инфернальный	+2d6 огненный урон, огненный взрыв при крите	Ур. 55+	Legendary
prefix_freezing_1	Холодный	+1 холод урон	Ур. 1+	Common
prefix_freezing_2	Морозный	+1d4 холод, -5 скорость	Ур. 10+	Uncommon
prefix_freezing_3	Ледяной	+1d6 холод, -10 скорость	Ур. 25+	Rare
prefix_freezing_4	Замораживающий	+1d8 холод, шанс заморозки	Ур. 40+	Very Rare
prefix_freezing_5	Абсолютный ноль	+2d6 холод, заморозка при крите	Ур. 55+	Legendary
prefix_shocking_1	Искрящий	+1 электричество	Ур. 1+	Common
prefix_shocking_2	Электрический	+1d4 электричество	Ур. 10+	Uncommon
prefix_shocking_3	Молниеносный	+1d6 электричество, цепная молния	Ур. 25+	Rare
prefix_shocking_4	Громовой	+1d8 электричество, оглушение	Ур. 40+	Very Rare
prefix_shocking_5	Штормовой	+2d6 электричество, призыв молнии при крите	Ур. 55+	Legendary
prefix_acidic_1	Едкий	+1 кислота	Ур. 1+	Common
prefix_acidic_2	Разъедающий	+1d4 кислота	Ур. 10+	Uncommon
prefix_acidic_3	Кислотный	+1d6 кислота, -1 AC цели	Ур. 25+	Rare
prefix_acidic_4	Растворяющий	+1d8 кислота, -2 AC цели	Ур. 40+	Very Rare
prefix_acidic_5	Аннигилирующий	+2d6 кислота, уничтожение брони	Ур. 55+	Legendary
Божественные и тёмные префиксы
ID	Название (Тир)	Эффект	Требования	Редкость
prefix_holy_1	Освящённый	+1 сияние vs нежить/исчадия	Ур. 5+	Uncommon
prefix_holy_2	Благословенный	+1d4 сияние vs нежить/исчадия	Ур. 15+	Rare
prefix_holy_3	Святой	+1d6 сияние vs нежить/исчадия, отпугивание	Ур. 30+	Rare
